Category,Customer ID,Order Date,Order ID,Product ID,Product Name,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,CG-12520,08/11/20,CA-2020-152156,FUR-BO-10001798,Bush Somerset Collection Bookcase,Consumer,11/11/20,Second Class,Shipped On Time,Kentucky,Bookcases,0.00%,$42,2,$262
Furniture,CG-12520,08/11/20,CA-2020-152156,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Consumer,11/11/20,Second Class,Shipped On Time,Kentucky,Chairs,0.00%,$220,3,$732
Office Supplies,DV-13045,12/06/20,CA-2020-138688,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Corporate,16/06/20,Second Class,Shipped Late,California,Labels,0.00%,$7,2,$15
Furniture,SO-20335,11/10/19,US-2019-108966,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Consumer,18/10/19,Standard Class,Shipped Late,Florida,Tables,45.00%,-$383,5,$958
Office Supplies,SO-20335,11/10/19,US-2019-108966,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Consumer,18/10/19,Standard Class,Shipped Late,Florida,Storage,20.00%,$3,2,$22
Furniture,BH-11710,09/06/18,CA-2018-115812,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Consumer,14/06/18,Standard Class,Shipped Early,California,Furnishings,0.00%,$14,7,$49
Office Supplies,BH-11710,09/06/18,CA-2018-115812,OFF-AR-10002833,Newell 322,Consumer,14/06/18,Standard Class,Shipped Early,California,Art,0.00%,$2,4,$7
Technology,BH-11710,09/06/18,CA-2018-115812,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Consumer,14/06/18,Standard Class,Shipped Early,California,Phones,20.00%,$91,6,$907
Office Supplies,BH-11710,09/06/18,CA-2018-115812,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Consumer,14/06/18,Standard Class,Shipped Early,California,Binders,20.00%,$6,3,$19
Office Supplies,BH-11710,09/06/18,CA-2018-115812,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Consumer,14/06/18,Standard Class,Shipped Early,California,Appliances,0.00%,$34,5,$115
Furniture,BH-11710,09/06/18,CA-2018-115812,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Consumer,14/06/18,Standard Class,Shipped Early,California,Tables,20.00%,$85,9,"$1,706"
Technology,BH-11710,09/06/18,CA-2018-115812,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Consumer,14/06/18,Standard Class,Shipped Early,California,Phones,20.00%,$68,4,$911
Office Supplies,AA-10480,15/04/21,CA-2021-114412,OFF-PA-10002365,Xerox 1967,Consumer,20/04/21,Standard Class,Shipped Early,North Carolina,Paper,20.00%,$5,3,$16
Office Supplies,IM-15070,05/12/20,CA-2020-161389,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Consumer,10/12/20,Standard Class,Shipped Early,Washington,Binders,20.00%,$133,3,$408
Office Supplies,HP-14815,22/11/19,US-2019-118983,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Home Office,26/11/19,Standard Class,Shipped Early,Texas,Appliances,80.00%,-$124,5,$69
Office Supplies,HP-14815,22/11/19,US-2019-118983,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Home Office,26/11/19,Standard Class,Shipped Early,Texas,Binders,80.00%,-$4,3,$3
